"pl_POL_wp_int" "2017-05-21 10:03:00" "Zapalił się dach browaru w Piotrkowie Trybunalskim" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/232464515-1607319966/pozar-warszawa.jpg"" width=""308"" /> - Spaleniu uległa część dachu hali produkcyjnej, ale sytuacja jest już opanowana. W sumie na miejscu pracowało 15 zastępów - relacjonuje Wirtualnej..."
"pl_POL_wp_int" "2017-05-21 09:21:00" "Filip Chajzer poszedł rano nad Wisłę. Strasznie przykry widok" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1584120389-2071014686/sd.jpg"" width=""308"" /> Dziennikarz wybrał się w niedzielę rano na prawy brzeg Wisły w Warszawie. To, co zastał na miejscu, to po prostu skandal. Zobaczcie sami, w jaki..."
"pl_POL_wp_int" "2017-05-21 09:02:00" "Bojkot ""Opola"". Prezydent miasta ma pomysł" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1716338995--1334463432/opole.jpg"" width=""308"" /> Po tym, jak kolejne gwiazdy rezygnują z udziału w festiwalu opolskim, głos zabrał prezydent Opola. Wyszedł z niecodzienną propozycją."
"pl_POL_wp_int" "2017-05-21 08:02:00" "Rutkowski oświadczył się w telewizji. Miażdżące komentarze internautów" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1447112094-798350188/sd.jpg"" width=""308"" /> W sobotę na antenie Polsatu Krzysztof Rutkowski oświadczył się Mai Pilch. Po programie zamieścił na Facebooku pamiątkowe zdjęcie ze swoją..."
"pl_POL_wp_int" "2017-05-21 07:51:00" "Kaczyński chce pozwać ludzi, którzy utrudniają mu odwiedziny grobu brata na Wawelu" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/244501659-1958546023/jaroslaw-kaczynski.jpg"" width=""308"" /> - Poważnie rozważam możliwość wytoczenia procesów cywilnych tym, którzy tam funkcjonują - powiedział w TVP Info prezes PiS Jarosław Kaczyński o..."
"pl_POL_wp_int" "2017-05-21 07:51:00" "Kto nie zagra w Opolu? Rezygnuje nawet zespół ""Kombii""" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/2033924187--2098651872/opole.jpg"" width=""308"" /> To już efekt kuli śnieżnej. Kolejny zespół rezygnuje z udziału w festiwalu w Opolu. Kogo zatem nie zobaczymy?"
"pl_POL_wp_int" "2017-05-21 07:24:00" "Kolizja samolotu z samochodem na lotnisku w Los Angeles" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1491259168-3964042/los-angeles.jpg"" width=""308"" /> Na międzynarodowym lotnisku w Los Angeles doszło w sobotę do kolizji samolotu pasażerskiego z samochodem serwisowym. Jak poinformowała straż..."
"pl_POL_wp_int" "2017-05-21 03:19:00" "Wielka demonstracja w Caracas. Starcia z policją" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/434823713-1066662107/wenezuela.jpg"" width=""308"" /> Ponad 160 tys. osób uczestniczyło w sobotę w stolicy Wenezueli, Caracas, w antyrządowej demonstracji, jednej z największych od rozpoczęcia fali..."
"pl_POL_wp_int" "2017-05-20 23:12:00" "Jarosław Kaczyński: to wywołuje taką furię" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/2065963311--1648538531/jaroslaw-kaczynski.jpg"" width=""308"" /> Zdaniem prezesa PiS, Polska musi prowadzić politykę, która jest nastawiona przede wszystkim na interes społeczny. - To wywołuje taką furię, bo do..."
"pl_POL_wp_int" "2017-05-20 23:04:00" "Niewyjaśnione okoliczności śmierci na komisariacie" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1054852817-954132851/igor-stachowiak.jpg"" width=""308"" /> 15 maja 2016 roku policja zatrzymuje na wrocławskim rynku Igora Stachowiaka. Czterech funkcjonariuszy nie radzi sobie z 25-latkiem i używają wobec..."
"pl_POL_wp_int" "2017-05-20 21:44:00" "Rutkowski OŚWIADCZYŁ SIĘ na antenie" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/926961665--446413140/rutkowski.jpg"" width=""308"" /> W programie &" "34;Skandaliści&" "34; prowadzonym przez Agnieszkę Gozdyrę, Krzysztof Rutkowski oświadczył się Mai Pilch."
